Model,Overall,Small Ligands,Large Ligands,Peptides,Dimers,Neutral,Charged
mace-off24-medium,17.72552252489748,5.600652886212149,8.079020330661898,8.122211320617016,49.03958121390544,15.438641658841254,27.459811474492078
aceff-1.1,20.579967354183054,8.677042722606547,13.926367108163035,18.12269654870706,41.593763037255584,18.20702489904867,30.61456714811737
fennix-bio1-medium,10.891683695500593,6.515810580133783,8.151701800723737,6.251864028297499,22.647358372847346,9.86783149927883,15.221307035078892
fennix-bio1-small,16.758913273543754,7.30202569750865,9.420458032787309,6.919318662415143,43.39385070146392,15.646496099801773,21.463056485380758
mace-omol-0,4.469387697098835,2.5363001749718994,3.9720120598129234,4.427836689692031,6.941401863918483,4.052017397463649,6.234345761569194
mace-off23-small,21.48263905476878,7.2160777509100065,32.39605012181122,8.743028558127408,37.504066981707176,21.61045291547736,20.938589266094727
aimnet2,12.94949989199567,7.856772346130563,12.327942428180977,12.421539301653477,19.19174549201767,12.250403135890592,15.905811010949822
egret-1,15.14241927847828,4.255542622809992,7.046006891937459,6.183995146366236,43.02969806952109,13.252128886625282,23.18858956485255
maceles-off,21.93710981615168,4.860035123765625,10.490269334651607,6.5874231830662735,65.7253262496613,20.975742429911048,26.02924599311016
mace-mh-1,9.613496803885631,4.231409158043815,6.314196852082919,6.312107090846914,21.596274114568878,8.124828764958668,15.908713935818614
mace-off23-large,19.77835422703797,4.431221303816396,7.304416000983304,7.461364751876872,59.83967918685919,17.471351633024817,29.598292900238693
uma-s-1p1,3.1482683830189675,2.1158242056460734,2.942657717998519,2.8020198530565095,4.732571755374769,2.860579102329069,4.364836779138997
orb-v3,3.671432751162383,2.4373969791576906,3.4977427177557048,3.0855034600614197,5.665087847674716,3.393157180369839,4.848192844644578
uma-m-1p1,2.649804445202237,1.828421965279853,2.700041616583001,2.7446820177508386,3.326072181195255,2.517939043911043,3.207431338244083
